Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Long Island Rail Road massacre,"Garden City, New York",7/12/1993,1993,6,19,25,Spree,Other,35,19-34,Black,Male,Yes,Garden City,New York,NY,40.7267682,-73.6342955
Luigi's shooting,"Fayetteville, North Carolina",6/8/1993,1993,4,8,12,Mass,Other,22,19-34,White,Male,No,Fayetteville,North Carolina,NC,35.0529931,-78.87870579999999
101 California Street shootings,"San Francisco, California",1/7/1993,1993,9,6,15,Mass,Other,55,35-64,White,Male,No,San Francisco,California,CA,37.792968,-122.397973
Watkins Glen killings,"Watkins Glen, New York",15-10-1992,1992,5,0,5,Mass,Other,50,35-64,White,Male,Yes,Watkins Glen,New York,NY,42.3810555,-76.8705777
Lindhurst High School shooting,"Olivehurst, California",1/5/1992,1992,4,10,14,Mass,School,20,19-34,White,Male,No,Olivehurst,California,CA,39.07868761,-121.54757620000001
Royal Oak postal shootings,"Royal Oak, Michigan",14-11-1991,1991,5,5,10,Mass,Workplace,31,19-34,White,Male,Yes,Royal Oak,Michigan,MI,42.4894801,-83.1446485
University of Iowa shooting,"Iowa City, Iowa",1/11/1991,1991,6,1,7,Spree,School,28,19-34,Asian,Male,Unclear,Iowa City,Iowa,IA,41.6606893,-91.5302214
Luby's massacre,"Killeen, Texas",16-10-1991,1991,24,20,44,Mass,Other,35,19-34,White,Male,No,Killeen,Texas,TX,31.117119399999996,-97.7277959
GMAC massacre,"Jacksonville, Florida",18-06-1990,1990,10,4,14,Mass,Other,42,35-64,Black,Male,No,Jacksonville,Florida,FL,30.3321838,-81.655651
Standard Gravure shooting,"Louisville, Kentucky",14-09-1989,1989,9,12,21,Mass,Workplace,47,35-64,White,Male,Yes,Louisville,Kentucky,KY,38.254237599999996,-85.759407
Stockton schoolyard shooting,"Stockton, California",17-01-1989,1989,6,29,35,Mass,School,26,19-34,White,Male,Yes,Stockton,California,CA,37.9577016,-121.29077959999998
ESL shooting,"Sunnyvale, California",16-02-1988,1988,7,4,11,Mass,Workplace,39,35-64,White,Male,Yes,Sunnyvale,California,CA,37.368830100000004,-122.03634960000001
Shopping centers spree killings,"Palm Bay, Florida",23-04-1987,1987,6,14,20,Spree,Other,59,35-64,White,Male,Yes,Palm Bay,Florida,FL,28.0331886,-80.64296949999999
United States Postal Service shooting,"Edmond, Oklahoma",20-08-1986,1986,15,6,21,Mass,Workplace,44,35-64,White,Male,Unclear,Edmond,Oklahoma,OK,35.667201500000004,-97.42937037
San Ysidro McDonald's massacre,"San Ysidro, California",18-07-1984,1984,22,19,41,Mass,Other,41,35-64,White,Male,Yes,San Ysidro,California,CA,32.5520013,-117.04308130000001
Dallas nightclub shooting,"Dallas, Texas",29-06-1984,1984,6,1,7,Mass,Other,39,35-64,White,Male,Yes,Dallas,Texas,TX,32.925166,-96.838676
Welding shop shooting,"Miami, Florida",20-08-1982,1982,8,3,11,Mass,Other,51,35-64,White,Male,Yes,Miami,Florida,FL,25.796491,-80.226683
